Fecha,SF43936,SF43945,SF43883,SF43886,SF44071
12/2018,8.00,N/E,N/E,N/E,N/E
12/2018,8.17,N/E,N/E,8.79,N/E
01/2019,8.06,N/E,8.56,N/E,N/E
01/2019,8.00,8.62,N/E,N/E,8.71
01/2019,7.91,N/E,N/E,N/E,N/E
01/2019,7.91,N/E,N/E,8.44,N/E
01/2019,7.86,8.42,N/E,N/E,N/E
02/2019,7.90,N/E,8.17,N/E,N/E
02/2019,7.88,N/E,N/E,N/E,8.49
02/2019,7.85,N/E,N/E,8.10,N/E
02/2019,8.10,8.20,N/E,N/E,N/E
03/2019,8.00,N/E,8.01,N/E,N/E
03/2019,8.09,N/E,N/E,N/E,N/E
03/2019,8.15,N/E,N/E,7.92,N/E
03/2019,7.85,8.05,N/E,N/E,8.01
04/2019,7.80,N/E,7.87,N/E,N/E
04/2019,7.76,N/E,N/E,N/E,N/E
04/2019,7.81,N/E,N/E,7.89,N/E
04/2019,7.75,8.15,N/E,N/E,N/E
05/2019,8.20,N/E,7.98,N/E,N/E
05/2019,8.02,N/E,N/E,N/E,8.24
05/2019,8.05,N/E,N/E,7.94,N/E
05/2019,8.03,8.28,N/E,N/E,N/E
05/2019,8.05,N/E,7.82,N/E,N/E
06/2019,8.30,N/E,N/E,N/E,N/E
06/2019,8.28,N/E,N/E,7.57,N/E
06/2019,8.24,8.16,N/E,N/E,7.68
06/2019,8.18,N/E,7.57,N/E,N/E
07/2019,8.10,N/E,N/E,N/E,N/E
07/2019,8.17,N/E,N/E,7.37,N/E
07/2019,8.13,8.04,N/E,N/E,N/E
07/2019,8.15,N/E,7.37,N/E,N/E
08/2019,8.01,N/E,N/E,N/E,7.53
08/2019,8.15,N/E,N/E,7.33,N/E
08/2019,8.05,7.78,N/E,N/E,N/E
08/2019,7.96,N/E,7.12,N/E,N/E
08/2019,7.87,N/E,N/E,N/E,N/E
09/2019,7.81,N/E,N/E,6.84,N/E
09/2019,7.72,7.39,N/E,N/E,7.08
09/2019,7.72,N/E,7.01,N/E,N/E
09/2019,7.61,N/E,N/E,N/E,N/E
10/2019,7.65,N/E,N/E,6.72,N/E
10/2019,7.70,7.18,N/E,N/E,N/E
10/2019,7.67,N/E,6.68,N/E,N/E
10/2019,7.65,N/E,N/E,N/E,6.87
10/2019,7.62,N/E,N/E,6.67,N/E
11/2019,7.55,7.12,N/E,N/E,N/E
11/2019,7.45,N/E,6.62,N/E,N/E
11/2019,7.43,N/E,N/E,N/E,N/E
11/2019,7.46,N/E,N/E,6.99,N/E
12/2019,7.40,7.18,N/E,N/E,7.14
12/2019,7.04,N/E,6.76,N/E,N/E
12/2019,6.80,N/E,N/E,N/E,N/E
12/2019,7.25,N/E,N/E,6.80,N/E
01/2020,7.25,7.18,N/E,N/E,N/E
01/2020,7.26,N/E,6.80,N/E,N/E
01/2020,7.00,N/E,N/E,N/E,6.85
01/2020,7.05,N/E,N/E,6.77,N/E
01/2020,7.04,6.97,N/E,N/E,N/E
02/2020,6.99,N/E,6.55,N/E,N/E
02/2020,7.00,N/E,N/E,N/E,N/E
02/2020,6.95,N/E,N/E,6.47,N/E
02/2020,6.91,6.66,N/E,N/E,6.47
03/2020,6.70,N/E,6.15,N/E,N/E
03/2020,6.81,N/E,N/E,N/E,N/E
03/2020,7.15,N/E,N/E,7.50,N/E
03/2020,6.59,6.61,N/E,N/E,N/E
04/2020,6.39,N/E,6.27,N/E,N/E
04/2020,6.23,N/E,N/E,N/E,7.37
04/2020,6.00,N/E,N/E,6.10,N/E
04/2020,6.00,5.79,N/E,N/E,N/E
04/2020,5.84,N/E,5.35,N/E,N/E
05/2020,5.70,N/E,N/E,N/E,N/E
05/2020,5.39,N/E,N/E,5.08,N/E
