Fecha ,28 dias,1 an,3 an,5 an,10 an
30/01/2020,7.04,6.97,NA,NA,NA
06/02/2020,6.99,NA,6.55,NA,NA
13/02/2020,7.00,NA,NA,NA,NA
20/02/2020,6.95,NA,NA,6.47,NA
27/02/2020,6.91,6.66,NA,NA,6.47
05/03/2020,6.70,NA,6.15,NA,NA
12/03/2020,6.81,NA,NA,NA,NA
19/03/2020,7.15,NA,NA,7.50,NA
26/03/2020,6.59,6.61,NA,NA,NA
02/04/2020,6.39,NA,6.27,NA,NA
08/04/2020,6.23,NA,NA,NA,7.37
16/04/2020,6.00,NA,NA,6.10,NA
23/04/2020,6.00,5.79,NA,NA,NA
30/04/2020,5.84,NA,5.35,NA,NA
07/05/2020,5.70,NA,NA,NA,NA
14/05/2020,5.39,NA,NA,5.08,NA
