Periodo,Cambio % C ,Cambio % Inv,Cambio % PIB
2009/01,-4.078440003,-10.12663391,-5.088468158
2009/02,-1.108077113,0.08526562,-1.530488994
2009/03,2.622860625,1.026024831,3.246866115
2009/04,2.140880001,-0.107509335,1.733806209
2010/01,-0.193251397,3.441898155,1.083921647
2010/02,0.813581462,0.430588072,1.034537072
2010/03,0.337604386,-0.466391377,0.910123224
2010/04,1.478866273,2.525080793,0.833489619
2011/01,0.195131527,0.402387713,0.812215047
2011/02,1.384100434,4.693440822,0.439065833
2011/03,1.240481148,2.468586243,1.925636532
2011/04,-0.000784474,2.599873451,0.714354446
2012/01,1.001336075,-0.20823811,0.563196626
2012/02,-0.185670472,1.020501705,0.885168169
2012/03,0.352976386,1.314250618,0.62989293
2012/04,0.431514078,-1.970356283,0.842159806
2013/01,1.72393025,-0.455891664,0.34681201
2013/02,-0.715860567,-2.850099069,-0.693608589
2013/03,0.436688532,-0.919855875,0.969458409
2013/04,0.542931442,1.293557337,0.545574203
2014/01,0.341823319,0.069900647,0.646940933
2014/02,1.779552944,2.525237686,1.265220689
2014/03,-0.398121557,0.333251446,0.375643139
2014/04,0.626308063,4.336498129,1.113502326
2015/01,0.619074652,-2.476601092,0.550610669
2015/02,0.694173946,3.730212186,1.036955186
2015/03,0.9446331,2.36520976,1.21336502
2015/04,1.390589112,-1.573051295,-0.017830389
2016/01,0.6056695,0.655925591,0.603923136
2016/02,0.036210943,-1.404136111,0.438527643
2016/03,1.664535832,0.372278791,1.10205441
2016/04,1.228593014,1.759143524,1.134400195
2017/01,0.654127856,-2.971102326,0.480110831
2017/02,0.977158904,-0.220200127,0.328031163
2017/03,0.315447663,0.66033629,-0.314803342
2017/04,0.489590011,0.7113769,1.1776175
2018/01,1.505587851,1.98194846,1.328386906
2018/02,-0.1306542,-0.441050148,-0.248939859
2018/03,0.498063242,-1.593139592,0.3057201
2018/04,-0.481418993,-3.025885916,0.064430399
,,,
,,,
,,,
