Periodo,Cambio % Inv,Cambio % C ,Cambio % PIB,Tasa de inter‚s real ,Cambio  rezago 1% Inv,Cambio rezago 1 % PIB,Cambio rezago 1 Tasa inter‚s
1994/01,5.937662326,0.724256956,1.036671158,0.757897017,6.837540169,1.262444475,1.602819902
1994/02,2.86521225,2.889513317,2.095808983,2.680715884,5.937662326,1.036671158,0.757897017
1994/03,0.748460657,1.609798843,0.814007344,2.203741865,2.86521225,2.095808983,2.680715884
1994/04,-3.647836874,0.649387504,1.113945351,2.033182308,0.748460657,0.814007344,2.203741865
1995/01,-30.63414012,-6.645989077,-5.743084939,-1.470863725,-3.647836874,1.113945351,2.033182308
1995/02,-11.8932914,-2.064362916,-4.900146418,-1.793910593,-30.63414012,-5.743084939,-1.470863725
1995/03,1.779599629,0.911375506,1.948702273,3.26971424,-11.8932914,-4.900146418,-1.793910593
1995/04,9.0521271,-0.000495132,1.857648703,4.091712428,1.779599629,1.948702273,3.26971424
1996/01,4.642435123,2.097211071,2.539347896,2.072289103,9.0521271,1.857648703,4.091712428
1996/02,5.751409004,0.55124335,1.46253762,1.70231986,4.642435123,2.539347896,2.072289103
1996/03,6.973288965,2.117623035,1.755772722,2.96380654,5.751409004,1.46253762,1.70231986
1996/04,6.051222493,2.714203044,2.943873029,0.852859869,6.973288965,1.755772722,2.96380654
1997/01,-2.691248571,0.959826804,0.172805474,0.178196873,6.051222493,2.943873029,0.852859869
1997/02,7.084734729,2.537067199,2.31631401,2.473253871,-2.691248571,0.172805474,0.178196873
1997/03,4.525260501,1.506344118,1.944402031,1.957279403,7.084734729,2.31631401,2.473253871
1997/04,2.158149455,2.604601994,2.413410035,1.7692161,4.525260501,1.944402031,1.957279403
1998/01,1.960340482,1.555343265,0.9549962,-0.203121174,2.158149455,2.413410035,1.7692161
1998/02,2.416764511,1.437233107,0.731234234,1.994000605,1.960340482,0.9549962,-0.203121174
1998/03,1.642908342,0.625326325,0.457067038,3.405427966,2.416764511,0.731234234,1.994000605
1998/04,0.22985648,0.198548825,0.155390836,3.120338358,1.642908342,0.457067038,3.405427966
1999/01,3.243441629,2.37681146,1.088920748,2.117543358,0.22985648,0.155390836,3.120338358
1999/02,0.03685679,0.592931965,0.575074651,3.092285153,3.243441629,1.088920748,2.117543358
1999/03,0.183741549,1.825331993,0.810945506,3.090473464,0.03685679,0.575074651,3.092285153
1999/04,1.953952927,0.792079399,1.036010473,2.149229638,0.183741549,0.810945506,3.090473464
2000/01,3.346256968,2.179783602,1.840244183,1.186689115,1.953952927,1.036010473,2.149229638
2000/02,1.425856904,2.266225879,1.60887266,2.358693013,3.346256968,1.840244183,1.186689115
2000/03,-0.41863976,1.763273259,0.780444121,2.198596503,1.425856904,1.60887266,2.358693013
2000/04,-2.378001127,1.111168363,-0.663716045,1.734371672,-0.41863976,0.780444121,2.198596503
2001/01,-4.118047186,0.098588889,0.121482452,3.271468082,-2.378001127,-0.663716045,1.734371672
2001/02,-3.269223725,0.084326411,-0.606785051,2.214371234,-4.118047186,0.121482452,3.271468082
2001/03,2.30775327,0.273774874,0.027285191,1.181075022,-3.269223725,-0.606785051,2.214371234
2001/04,-1.255088962,0.756237232,-0.472011171,1.189040588,2.30775327,0.027285191,1.181075022
2002/01,-2.721971763,0.293224392,-0.615505794,0.522968364,-1.255088962,-0.472011171,1.189040588
2002/02,0.809965463,0.95568652,0.864606625,0.451226388,-2.721971763,-0.615505794,0.522968364
2002/03,1.248932879,0.093876956,0.681238033,0.613419664,0.809965463,0.864606625,0.451226388
2002/04,-0.124400125,-0.41103827,0.311088687,0.25904135,1.248932879,0.681238033,0.613419664
2003/01,0.603296204,1.645229642,0.264788496,0.899949034,-0.124400125,0.311088687,0.25904135
2003/02,-0.014331497,-0.103024598,0.19898465,1.694631978,0.603296204,0.264788496,0.899949034
2003/03,-0.77448198,0.641784078,-0.006944979,0.256501361,-0.014331497,0.19898465,1.694631978
2003/04,0.407423046,1.471286662,1.043689724,-0.228873232,-0.77448198,-0.006944979,0.256501361
2004/01,5.05978759,0.582939182,1.272013777,-0.154330365,0.407423046,1.043689724,-0.228873232
2004/02,2.094495049,1.907138441,1.694799024,1.616148523,5.05978759,1.272013777,-0.154330365
2004/03,-0.708262478,1.429995171,-0.135028637,0.164495299,2.094495049,1.694799024,1.616148523
2004/04,2.78189222,1.218001498,1.2280532,0.360460629,-0.708262478,-0.135028637,0.164495299
2005/01,2.034042424,0.210486945,0.170364998,1.535825018,2.78189222,1.2280532,0.360460629
2005/02,-0.034494137,0.011327493,0.298623118,2.462835382,2.034042424,0.170364998,1.535825018
2005/03,1.691655668,1.239659767,0.918038529,1.459186003,-0.034494137,0.298623118,2.462835382
2005/04,3.475995181,0.202618539,1.583601157,0.563070964,1.691655668,0.918038529,1.459186003
2006/01,2.388275841,2.295561825,1.7609704,1.025398848,3.475995181,1.583601157,0.563070964
2006/02,2.94592265,1.100855081,0.986873973,2.024843147,2.388275841,1.7609704,1.025398848
2006/03,1.760023738,-0.013676871,0.308588643,-0.010094885,2.94592265,0.986873973,2.024843147
2006/04,0.460714189,0.479203739,0.215843373,0.245445404,1.760023738,0.308588643,-0.010094885
2007/01,-0.420531062,1.432610013,0.709629152,0.784038804,0.460714189,0.215843373,0.245445404
2007/02,2.087549668,0.932905079,0.767622617,2.257832859,-0.420531062,0.709629152,0.784038804
2007/03,3.208774727,-0.484986707,0.62581381,0.223764705,2.087549668,0.767622617,2.257832859
2007/04,4.020677256,-0.096209799,0.400801228,0.370832023,3.208774727,0.62581381,0.223764705
2008/01,1.352539228,1.27325186,-0.329941936,0.388303238,4.020677256,0.400801228,0.370832023
2008/02,1.411047128,0.896081973,0.890186646,1.374868732,1.352539228,-0.329941936,0.388303238
2008/03,-0.178962894,-0.85387792,0.292413653,0.244124374,1.411047128,0.890186646,1.374868732
2008/04,-3.367381996,-3.758651743,-1.591004928,-0.504634828,-0.178962894,0.292413653,0.244124374
2009/01,-10.12663391,-4.078440003,-5.088468158,0.81905675,-3.367381996,-1.591004928,-0.504634828
2009/02,0.08526562,-1.108077113,-1.530488994,1.123413326,-10.12663391,-5.088468158,0.81905675
2009/03,1.026024831,2.622860625,3.246866115,0.140631666,0.08526562,-1.530488994,1.123413326
2009/04,-0.107509335,2.140880001,1.733806209,-0.085991071,1.026024831,3.246866115,0.140631666
2010/01,3.441898155,-0.193251397,1.083921647,-1.236207585,-0.107509335,1.733806209,-0.085991071
2010/02,0.430588072,0.813581462,1.034537072,2.137745194,3.441898155,1.083921647,-1.236207585
2010/03,-0.466391377,0.337604386,0.910123224,0.134860519,0.430588072,1.034537072,2.137745194
